2023-07-01,0.0,0.0,0.0,0.0,0.0
2023-07-02,0.0,0.0,0.0,0.0,0.0
2023-07-03,0.0,0.0,0.0,0.0,0.0
2023-07-04,3.4,0.7,15.9,0.8,1.3
2023-07-05,2.2,1.1,15.2,0.0,11.8
2023-07-06,4.8,2.0,9.8,0.0,4.5
2023-07-07,3.3,1.3,16.0,0.0,12.3
2023-07-08,6.0,2.1,16.4,0.0,9.8
2023-07-09,34.4,10.8,15.8,8.9,0.0
2023-07-10,12.1,1.7,15.4,8.4,1.4
2023-07-11,3.4,1.5,15.9,0.0,10.9
2023-07-12,4.6,1.8,14.8,0.0,9.8
2023-07-13,3.8,1.9,13.0,0.0,8.5
2023-07-14,3.6,2.0,16.6,0.0,12.8
2023-07-15,6.9,2.8,16.1,0.0,8.4
2023-07-16,22.5,9.6,15.9,0.0,0.0
2023-07-17,0.2,0.2,0.0,0.0,0.0
2023-07-18,11.1,8.4,15.2,0.0,10.2
